SongName,SpotifyId,ArtistSpotifyId,AlbumSpotifyId
Brothers & Sisters,6BMIgTmZAihjW5MKEo7gvV,4gzpq5DPGxSnKTe4SA8HAU,1As5m9qcOZtuFzdlzCkrzI
Easy To Please,6KHZ9SElsSmjQI7B9D0e4P,4gzpq5DPGxSnKTe4SA8HAU,1As5m9qcOZtuFzdlzCkrzI
Only Superstition,4eJNA83TrqZ3S6LSyK8rSf,4gzpq5DPGxSnKTe4SA8HAU,1As5m9qcOZtuFzdlzCkrzI
Midnight - Giorgio Moroder Remix,65cBIwdOMbTPEY8D9V7aRp,4gzpq5DPGxSnKTe4SA8HAU,5pUVbNp8AeHd6Vt8bJWShA
Adventure of a Lifetime - Matoma Remix,2So9pYqQ0JWvFhasJfI871,4gzpq5DPGxSnKTe4SA8HAU,1TbYQD52H9tKtZine3mHHJ
Orphans - Muzi Remix,5x5SYDpamwxXJG675ArNMr,4gzpq5DPGxSnKTe4SA8HAU,2BFaHYLKy6IvNfD0zi5EQW
Everglow - Live from Spotify London,6U8VHaQxzECez4TSt0nmiP,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Viva La Vida - Live from Spotify London,6qt0IWS8y6yGR6gNTEmQzj,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Adventure of a Lifetime - Live from Spotify London,2XiSB3m4WSkxD3xIUrYHfV,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Yellow - Live from Spotify London,33koOQs551ijjVmLbmrcDc,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Christmas Lights - Live from Spotify London,4QVdnpSO5JGMFOEl6ys4RQ,4gzpq5DPGxSnKTe4SA8HAU,573eP6oKtAJDqnpco7Fn9c
Something Just Like This - Tokyo Remix,5ffwnb6hqsKZp8cG6q90OW,4gzpq5DPGxSnKTe4SA8HAU,2i3pQGt2uzVfWL8LeFewmI
Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,4gzpq5DPGxSnKTe4SA8HAU,7IzpJkWQqgz1BTutQvSitX
Hypnotised,5LXj9Ch3O9ATm1NoHT8GXn,4gzpq5DPGxSnKTe4SA8HAU,165kxlULHc34us8oU420iw
2000 Miles,5v1SC5d3F8VHwqkXx53f7d,4gzpq5DPGxSnKTe4SA8HAU,0Uk9J6k7ZV1SCsezKHCg6w
Sunrise,6Tb7Zfo4PcSiS4TqQ4NnTh,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Church,1e8D1BCD2afT56Km7UahpB,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Trouble In Town,45PqOIkZ9PdCjsCJQYzx9G,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
BrokEn,1cXXhzPnbrXjNQYbLdUJdy,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
Daddy,3pcPPhPAiurm2Ior11SHrz,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
WOTW / POTP,7jib2tJjQ82kTIZZATMvAK,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr
